company_name,job_title,role_category,company_sector,city,region,technical_skills_required,employment_type,work_mode,experience_required_years,education_required,English_required_level,Danish_required_level,salary_min_dkk_monthly,salary_max_dkk_monthly,experience_level,soft_skills_required
Digital AI Studio ApS,Junior Data Engineer Intern,Data Engineer,Technology,Odense,Southern Denmark,"SQL Basics, Excel, Git, Python Basics, Data Cleaning, Linux Basics, Bash Scripting, Docker Basics, Data Pipeline Basics, Cloud Basics",Internship,Hybrid,0,Bachelor's Degree,Intermediate,Basic,40000,50000,Entry Level,"Problem Solving, Collaboration, Attention to Detail, Communication, Willingness to Learn, Adaptability, Curiosity, Teamwork, Analytical Thinking, Responsibility"
Nordic AI Studio ApS,ML/AI,ML/AI,Technology,Copenhagen,Capital Region,"Python, Scikit-learn, Model Deployment, ML Pipelines, Feature Engineering, Docker",Full-time,Hybrid,2,Master's Degree,Advanced,Danish not required,55000,65000,Mid Level,"Critical Thinking, Research Mindset, Problem Solving, Analytical Thinking, Collaboration, Curiosity, Adaptability, Communication, Attention to Detail, Continuous Learning, Ownership, Business Understanding"
Odense DataWorks ApS,Senior Data Engineer,Data Engineer,Technology,Odense,Southern Denmark,"Apache Spark, Kafka, Python, SQL, Data Architecture, Airflow, Kubernetes, Terraform, AWS, Azure, Data Warehousing, Distributed Systems, Docker, CI/CD Pipelines, Linux, ETL Pipeline Design, Git",Full-time,On-site,6,Master's Degree,Fluent,Basic,62000,72000,Senior Level,"Leadership, Ownership, Stakeholder Communication, Mentoring, Cross-team Collaboration, Strategic Thinking, Problem Solving, Decision Making, System Design Thinking, Critical Thinking, Business Understanding, Communication, Project Management, Adaptability, Team Leadership"
Cloud Design ApS,Product Analyst,Data Analyst,Technology,Aalborg,North Denmark,"SQL, Excel, Power BI, Product Analytics, Data Visualization, A/B Testing, Python, KPI Analysis, Business Understanding, Tableau, Data Storytelling, Google Analytics",Full-time,On-site,4,Bachelor's Degree,Advanced,Basic,55000,65000,Senior Level,"Communication, Analytical Thinking, Problem Solving, Business Understanding, Critical Thinking, Stakeholder Collaboration, Curiosity, Attention to Detail, Data Storytelling, Adaptability, Presentation Skills, Teamwork, Decision Making"
Copenhagen Solutions ApS,UX/UI Designer,UX,Consulting,Copenhagen,Capital Region,"Figma, Adobe XD, Wireframing, Prototyping, User Research, Interaction Design, Usability Testing, Design Systems, business analysis, reporting",Full-time,Hybrid,2,Master's Degree,Advanced,Intermediate,48000,58000,Mid Level,"Creativity, Communication, Empathy, Collaboration, Problem Solving, User-Centered Thinking, Attention to Detail, Critical Thinking, Adaptability, Presentation Skills, Teamwork, Visual Thinking, Stakeholder Communication"
Baltic DataWorks ApS,Junior Reporting Analyst,Data Analyst,Technology,Aarhus,Central Denmark,"Excel, SQL Basics, Power BI, Data Cleaning, Google Sheets, Data Visualization, Basic Reporting, Pivot Tables, Communication, KPI Reporting",Full-time,Hybrid,1,Bachelor's Degree,Intermediate,Intermediate,35000,45000,Entry Level,"Attention to Detail, Communication, Analytical Thinking, Collaboration, Problem Solving, Willingness to Learn, Teamwork, Adaptability, Responsibility, Curiosity"
Data Energy ApS,Junior Product Analyst,Data Analyst,Energy,Copenhagen,Capital Region,"Power BI, Excel, A/B Testing, SQL, Data Visualization, KPI Analysis, Experimentation, Data Analysis, Python, energy systems analysis, sustainability analysis, data modeling, forecasting",Full-time,Remote,1,Bachelor's Degree,Intermediate,Danish not required,35000,45000,Entry Level,"Curiosity, Communication, Analytical Thinking, Collaboration, Problem Solving, Attention to Detail, Teamwork, Willingness to Learn, Adaptability, Critical Thinking"
Data AI Studio ApS,Reporting Analyst,Data Analyst,Technology,Esbjerg,Southern Denmark,"SQL, Excel, Power BI, Data Visualization, Reporting Tools, KPI Reporting, Data Cleaning, Tableau, Business Reporting, DAX, Google Sheets",Full-time,Hybrid,4,Master's Degree,Intermediate,Intermediate,55000,65000,Senior Level,"Analytical Thinking, Attention to Detail, Stakeholder Collaboration, Communication, Data Storytelling, Problem Solving, Business Understanding, Critical Thinking, Adaptability, Presentation Skills, Collaboration, Responsibility"
Zealand Tech ApS,ML/AI,ML/AI,Technology,Odense,Southern Denmark,"Python, TensorFlow, PyTorch, Scikit-learn, SQL, Pandas, Feature Engineering, Model Training, Data Preprocessing, Machine Learning Algorithms, Docker, Git",Full-time,Hybrid,3,Master's Degree,Fluent,Danish not required,55000,65000,Mid Level,"Research Mindset, Analytical Thinking, Problem Solving, Critical Thinking, Collaboration, Curiosity, Communication, Attention to Detail, Adaptability, Continuous Learning, Ownership, Business Understanding"
Harbor DataWorks ApS,BI Analyst,BI,Technology,Odense,Southern Denmark,"Power BI, SQL, Reporting, Data Analysis, Business Intelligence, Python, Excel, Tableau, Supply Chain Analysis, Logistics KPIs, Inventory Analysis",Full-time,Remote,2,Bachelor's Degree,Intermediate,Intermediate,48000,58000,Mid Level,"Business Understanding, Data Storytelling, Analytical Thinking, Stakeholder Communication, Problem Solving, Attention to Detail, Collaboration, Critical Thinking, Communication, Decision Making, Adaptability, Presentation Skills"
Cloud Foods ApS,Junior Data Analyst,Data Analyst,Retail,Copenhagen,Capital Region,"Power BI, Data Cleaning, Data Visualization, Business Intelligence, Excel, SQL, Dashboard Development, Python, KPI Analysis, Sales Analysis, Customer Insights, POS Systems, Demand Planning",Full-time,On-site,1,Bachelor's Degree,Intermediate,Intermediate,35000,45000,Entry Level,"Analytical Thinking, Curiosity, Attention to Detail, Communication, Problem Solving, Teamwork, Adaptability, Collaboration, Willingness to Learn, Critical Thinking"
Blue Services ApS,Senior AI/ML Engineer,ML/AI,Consulting,Copenhagen,Capital Region,"Python, TensorFlow, PyTorch, NLP, Computer Vision, MLOps, Model Deployment, ML Pipelines, SQL, Data Modeling, Data Analysis, Feature Engineering, Stakeholder Management, Reporting, Business Analysis, Service Analytics, Customer Insights, Process Optimization",Full-time,Remote,5,Bachelor's Degree,Advanced,Intermediate,65000,75000,Senior Level,"Leadership, Strategic Thinking, System Design Thinking, Mentoring, Ownership, Stakeholder Communication, Decision Making, Critical Thinking, Cross-team Collaboration, Problem Solving, Business Understanding, Communication, Adaptability, Project Leadership"
